id,title,chance,description,icon
standard,Стандартный бокс,30,"Смешанный набор предметов из разных категорий",🎲
food,Гифтбокс - еда,15,"Продукты питания для выживания",🍽️
ammo,Гифтбокс - боеприпасы,12,"Магазины, оптика и навесное снаряжение",🎯
clothes,Гифтбокс - одежда,10,"Одежда и экипировка",🧥
collections,Гифтбокс - коллекции,10,"Коллекционные предметы и полезные ресурсы",🧸
medicine,Гифтбокс - медицина,10,"Аптечки, инъекторы и медицинские расходники",🏥
tools,Гифтбокс - инструменты,6,"Инструменты и предметы для крафта",🛠️
weapon,Гифтбокс - оружие,5,"Огнестрельное и холодное оружие",🔫
legendary,Гифтбокс - легендарный,2,"Самый редкий и ценный гифтбокс",🌟
lottery,Гифтбокс - Лотерея,В квест.доске за лотерейный билет,"Лотерейные награды со смешанным пулом",🎁
premium_lottery,Гифтбокс - Премиум лотерея,В квест.доске за доллары,"Премиальные лотерейные награды",💎
